0	-0.86808
1	0.54544
2	2.19432
3	2.62020
4	-0.40987
5	0.67634
6	-0.03993
7	-0.86162
8	0.65578
9	1.17656
10	0.09082
11	-0.86923
12	0.96366
13	-0.23355
14	-1.40102
15	-0.31104
16	1.62886
17	-0.70796
18	0.43633
19	-0.34426
20	-0.29920
21	-0.08608
22	0.20352
23	-0.68387
24	1.66960
25	1.11746
26	-0.51639
27	1.47402
28	0.54348
29	0.97707
30	0.10312
31	-0.70447
32	-1.27786
33	0.90021
34	2.15902
35	-0.98365
36	-0.14524
37	0.19281
38	0.21846
39	-1.31374
40	-0.97202
41	0.60719
42	0.14493
43	-0.05781
44	-0.87898
45	9.13063
46	-0.62615
47	0.26415
48	-0.38929
49	-1.36191
50	-0.79586
51	0.85836
52	1.30749
53	3.45570
54	3.09373
55	-0.93852
56	-1.76833
57	-0.32974
58	-0.16045
59	-2.22872
60	0.96988
61	-0.55220
62	0.10737
63	1.95608
64	-1.37590
65	-0.88708
66	0.72812
67	1.19380
68	-0.21265
69	-0.97234
70	0.31347
71	-0.13166
72	-0.12583
73	1.35317
74	0.59859
75	0.20727
76	2.07802
77	-0.47179
78	2.35527
79	-1.04189
80	0.12242
81	-0.87751
82	0.71325
83	0.68621
84	-0.21277
85	2.31752
86	0.17752
87	1.27124
88	0.65361
89	-0.12174
90	-0.38223
91	0.33403
92	-0.30283
93	1.23001
94	-0.21270
95	0.81730
96	-1.25854
97	0.57416
98	0.06964
99	-0.47059
100	-0.08208
101	0.18074
102	-0.41805
103	-1.50734
104	1.61296
105	3.13248
106	1.20412
107	2.88786
108	-0.38613
109	5.27264
110	-0.63297
111	0.22338
112	-0.83477
113	0.63674
114	-0.00568
115	-0.96833
116	0.25787
117	0.49673
118	-2.76886
119	-0.26207
120	1.08672
121	-1.38392
122	-0.11771
123	1.00117
124	-0.62233
125	1.22913
126	0.48962
127	-0.05310
128	3.31230
129	0.41422
130	-0.88279
131	-0.99822
132	0.80505
133	1.14658
134	-0.05320
135	0.78493
136	1.61691
137	-0.50553
138	1.63040
139	-6.48663
140	-13.77935
141	0.66061
142	1.44261
143	-1.31129
144	-0.50764
145	0.83632
146	-0.29630
147	0.75707
148	0.01529
149	0.39735
150	-0.11917
151	-0.40211
152	-0.13469
